ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
0.4784836425027379,0.10893364018085899,0.3424412013903481,0.47948105731340346,0.308000131861383,0.05952661357875156,-0.03335367580580031,-0.16427598010959418
1.9283509540711783,0.4255828914816296,2.3625656105574437,1.5528582024701507,1.000689170802738,1.3500776894688324,0.6383186934563723,0.7425118611150705
2.5850171882376194,0.8267305566505055,3.125137395308642,2.0268252368978126,1.7579118453241418,1.7378775433658138,1.4656212286066685,1.382698358084262
2.6274758894685153,1.2779339681849173,3.042358960032539,1.7404144625627564,2.260311934955181,1.5616982867409162,1.2372430515376427,1.1906925338780632
2.6745074014949095,1.080177314273776,2.7699900284313315,1.5613304466070956,1.253054913834362,1.2542404644902718,0.4056268967966007,0.3670751609013314
2.174252340889001,0.07254709736245435,1.7165723375841007,1.018376478113887,-0.5522151725439626,-0.3831066111778622,-1.1403306521767045,-1.525086669623076
1.1279135205031945,-0.40130024359127625,0.25732782642040536,-0.3626428671335615,-1.742673683955618,-2.256526140117937,-2.6638879924674472,-2.695404156115525
0.2253556336952124,-1.1418378717692679,-0.5381973053847099,-1.5442506974198877,-2.406561211697418,-2.3699943234832768,-2.7136965212723347,-2.325921358011783
-0.35726027708731495,-2.131420533184831,-0.9681465701927647,-1.5497241684623906,-2.063751141229211,-1.3212614132084222,-1.2675446094892535,-0.8155914854717046
-0.5307489497324743,-1.9043112959949762,-0.8957936071019794,-0.9999990942139031,-0.6685484655766627,-0.25999891032292954,-0.125657341026156,1.0900095412918849
-0.27879071647973114,-1.2750856568263056,0.24666989666948347,-0.4495679489034063,0.682086393448085,0.65007994045374,0.7866992528462153,2.0691298253889823
-0.15390676474942283,-0.9697793907751666,1.3652279994661825,0.6775367809341324,1.4227720541150761,1.2638194044164985,1.469148093761958,1.381772225823859
0.21731584338217383,-0.11072630282914364,1.7809269884508916,1.8243991128421304,1.7785936268457814,1.1518052954307636,1.1833541298738837,0.35796534197106167
1.0667038674018832,0.43962154412050464,1.9058408733376158,1.7875376027983094,1.590966219210434,0.39837300436194556,-0.035543454270940404,-0.6824298390047138
0.7861472290782218,0.15326741450824258,1.8814947025544524,0.9652903566504382,0.791878850223708,-0.37589824277993067,-1.2632175494049627,-2.1621229818644387
-0.013526896535912384,0.0036901577556982088,1.6467879951357907,0.3588260645843113,-0.36918890576972874,-1.287377658433466,-1.9799004507345206,-2.4428176184396557
-0.05257648154453518,-0.014802716039223628,1.0547719780369094,-0.1016350733226211,-1.2843411357466423,-1.8458515923989427,-1.8963669191482078,-1.4090002310823075
