ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-0.19257113609479012,0.5769222668610137,-0.9761885186501312,0.3467531611939341,0.350691913789431,0.008326964396104057,0.3162628537786078,-0.10526362214000412
0.7944634308116169,1.019793519204697,0.09100853834827982,0.9018339926352765,0.836735961744207,0.566498006548477,0.30855019655027816,0.5655707123824546
1.2898099414965183,1.3418903008484846,1.6811877620532787,0.8993364030613462,1.1048436000979773,1.6282361569901664,1.1898906725214549,1.5440823098855534
1.8035119439263303,1.1915215406772501,1.567452895499418,2.415484132589925,1.428669213028249,1.8934611297588886,1.3754898128270563,1.1581067937888312
2.345837877495308,1.3462164243485395,1.9042710688519515,1.4479614426778538,1.4243261356669124,1.7354212267127938,2.631745712453219,2.1735336406413213
1.684215386849227,1.0835542843351358,1.8824188642487805,2.1179533143183664,1.775110594344547,1.8782067625488423,1.961600491754123,1.7596043149992149
2.5644860686329674,2.7896475171265953,2.2934447739715424,1.4056405947989612,3.0770971292700757,1.8040993454511058,1.0260469130692296,1.3041865115583822
1.68223999394582,1.5471014936968048,1.9505970700348052,1.3293470103508789,1.4826244132994166,0.48731085906094906,1.4474495472789244,1.3504372233325768
2.2519056384090144,1.5935632677609337,0.9695472927711457,1.3587628118884696,1.5070036314376143,2.60939839279054,1.191912985723446,0.7590465361418379
2.1614009751945495,1.4654041571138656,1.856601998766326,1.4595410649446467,0.2568579125125426,0.32398997161315013,0.24177526184297926,0.46758575674340774
1.8590186662397188,0.6476490251610664,0.7553514055705113,1.1392627968826319,-0.8639857899681503,-0.24056272159812975,-1.236965312309175,-1.6437164998053746
0.9240308645295396,0.01965630504226218,-0.282596698614594,-0.23393162682279464,-1.1428958076136455,-1.4902136987077501,-0.8072431090461737,-2.1569881847608356
0.574910537278976,0.04954483783008394,-0.7928562224977345,-0.5700832775796774,-1.5576723662924004,-2.2111867211276897,-2.6669508337687287,-1.800015134431905
0.11535921359651871,0.29531461098639716,-1.333782928743605,-0.5680532115281864,-2.1623763389680715,-2.5105398272135915,-2.8242597837966623,-2.8728009098223977
-0.16770055293601777,-0.42107087764134427,-1.7379527974864475,-2.2925158140135307,-2.2345772848695726,-2.2319065170995196,-1.5817192483574958,-1.2878523170171028
